../../../../test_data/paper_data/magob/magob039.txt
r_init, x_init, r_fit, x_fit, r_sq, adj_r_sq, mse, rmse, mae
[5.272631578947369e-06, 0.0004210584210526316, 0.0018086305782496908, 3.64443616729942e-07, 0.9963787238659221, 0.9963775816876744, 4.365842818589831e-07, 0.0006607452473222816, 0.0004539512070879916]
[5.272631578947369e-06, 0.0004736894736842105, 0.0017667459659554893, 3.98685544195659e-07, 0.9945238642144847, 0.9945221369992866, 6.602078164608871e-07, 0.0008125317325870338, 0.0004945550813138381]
[5.272631578947369e-06, 0.0005263205263157895, 0.0018023002436601174, 3.6938128351710084e-07, 0.9962027114422721, 0.9962015137483571, 4.578044967037798e-07, 0.0006766125159230945, 0.0004570132922582598]
[5.272631578947369e-06, 0.0005789515789473685, 0.001765318733093542, 3.9995642530339e-07, 0.9944293459593276, 0.9944275889323475, 6.716030216378584e-07, 0.0008195138934989805, 0.0004972916195419458]
[5.272631578947369e-06, 0.0006315826315789475, 0.001766931393917687, 3.985622788803343e-07, 0.9945331593647448, 0.9945314350813084, 6.59087184851793e-07, 0.0008118418471917995, 0.0004944802142958545]
[5.272631578947369e-06, 0.0006842136842105264, 0.0017658600455168695, 3.994878040386482e-07, 0.9944644630591974, 0.9944627171084197, 6.673692727438319e-07, 0.0008169267242193953, 0.0004963481426272202]
[5.272631578947369e-06, 0.0007368447368421054, 0.0017737496993667221, 3.927327696619852e-07, 0.9949452444786104, 0.9949436501699773, 6.094058358354186e-07, 0.0007806445002915338, 0.0004831502226231439]
[5.272631578947369e-06, 0.0007894757894736843, 0.0017653187581442512, 3.999564035766091e-07, 0.9944293475926532, 0.9944275905661882, 6.716028247226672e-07, 0.0008195137733575117, 0.0004972915757198248]
[5.272631578947369e-06, 0.0008421068421052633, 0.0017662143288598845, 3.991814523207678e-07, 0.9944872989884247, 0.994485560240274, 6.646161527405162e-07, 0.0008152399356879643, 0.0004957305224941736]
[5.272631578947369e-06, 0.0008947378947368422, 0.0017653188716270332, 3.999563054815441e-07, 0.9944293549669964, 0.9944275979428573, 6.716019356652824e-07, 0.000819513230927532, 0.0004972913794151564]
[5.272631578947369e-06, 0.0009473689473684211, 0.001765650783338321, 3.9966888614670485e-07, 0.9944509198314693, 0.9944491696090537, 6.690020563628792e-07, 0.0008179254589281833, 0.0004967129014137173]
[5.272631578947369e-06, 0.001, 0.001780844987215636, 3.8677622054778126e-07, 0.9953280562997538, 0.9953265827329031, 5.632537011091435e-07, 0.0007505022992031027, 0.00047399105998813343]
[1.0535263157894739e-05, 1e-08, 0.00176531873924559, 3.99956419760301e-07, 0.9944293463760423, 0.9944275893491935, 6.716029713983701e-07, 0.0008195138628469748, 0.0004972916073878398]
[1.0535263157894739e-05, 5.264105263157895e-05, 0.001767783534821142, 3.978279887568874e-07, 0.9945870339482553, 0.9945853266572754, 6.525920169934086e-07, 0.0008078316761512937, 0.0004929938928392858]
[1.0535263157894739e-05, 0.0001052721052631579, 0.0017699928898287154, 3.9590786741102136e-07, 0.9947251952040977, 0.9947235314902368, 6.359351727127342e-07, 0.0007974554361923519, 0.0004890047887161918]
[1.0535263157894739e-05, 0.00015790315789473685, 0.001765971461766775, 3.9939143564872877e-07, 0.9944716568525431, 0.994469913170743, 6.665019825993134e-07, 0.0008163957267154902, 0.0004961539548112056]
[1.0535263157894739e-05, 0.0002105342105263158, 0.001804722622393257, 3.6747644652467876e-07, 0.9962745650637308, 0.9962733900329986, 4.4914175998832195e-07, 0.0006701803936167649, 0.0004557813267637702]
[1.0535263157894739e-05, 0.0002631652631578947, 0.0017877105666774353, 3.811169114241479e-07, 0.995653899800998, 0.995652529007685, 5.239697178606929e-07, 0.0007238575259404939, 0.0004673688297096002]
[1.0535263157894739e-05, 0.0003157963157894737, 0.0017746620634024755, 3.917598791010093e-07, 0.9950042144745775, 0.9950026387655331, 6.022963605048138e-07, 0.000776077547996857, 0.00048076329228283806]
[1.0535263157894739e-05, 0.0003684273684210527, 0.001765318765847294, 3.999563961573048e-07, 0.9944293481504367, 0.9944275911241476, 6.716027574757946e-07, 0.000819513732328992, 0.0004972915572872466]
[1.0535263157894739e-05, 0.0004210584210526316, 0.001768366208907191, 3.9732684469704185e-07, 0.9946234817611109, 0.9946217859660506, 6.481978361544721e-07, 0.000805107344491697, 0.0004919772674808496]
[1.0535263157894739e-05, 0.0004736894736842105, 0.0017673950799005785, 3.9812686156928965e-07, 0.9945649930985649, 0.9945632788557321, 6.552492814983394e-07, 0.0008094746947856612, 0.0004934295492495895]
